Запуск парсера shop.blkx...
Порог для определения премиумных колонок: 50.0%
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_IV_ausf_F2 с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_IV_ausf_G с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_IV_ausf_H с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_IV_ausf_J с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_V_ausf_a_panther с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_V_ausf_g_panther с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_V_ausf_f_panther с order=2
        ОТЛАДКА: get_group_items добавлен germ_leopard_I_a1 с order=0
        ОТЛАДКА: get_group_items добавлен germ_leopard_1a5 с order=1
        ОТЛАДКА: get_group_items добавлен germ_leopard_2a5 с order=0
        ОТЛАДКА: get_group_items добавлен germ_leopard_2a6 с order=1
        ОТЛАДКА: get_group_items добавлен germ_flakpanzer_I_ausf_A с order=0
        ОТЛАДКА: get_group_items добавлен germ_flakpanzer_38t_Gepard с order=1
        ОТЛАДКА: get_group_items добавлен germ_flakpanzer_IV_Ostwind с order=0
        ОТЛАДКА: get_group_items добавлен germ_flakpanzer_IV_Wirbelwind с order=1
        ОТЛАДКА: get_group_items добавлен germ_wiesel_2_adwc с order=0
        ОТЛАДКА: get_group_items добавлен germ_flakpz_1a2_Gepard с order=1
        ОТЛАДКА: get_group_items добавлен germ_flarakpz_1 с order=0
        ОТЛАДКА: get_group_items добавлен germ_9a33bm3 с order=1
    Найдена пара: germ_iris_slm_fcs -> germ_iris_slm_launcher
        ОТЛАДКА: get_group_items добавлен germ_sturmpanzer_II с order=0
        ОТЛАДКА: get_group_items добавлен germ_sdkfz_221_s_pz_b_41 с order=1
        ОТЛАДКА: get_group_items добавлен germ_panzerjager_1 с order=0
        ОТЛАДКА: get_group_items добавлен germ_sdkfz_251_9 с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_38t_Marder_III с order=0
        ОТЛАДКА: get_group_items добавлен germ_stug_III_ausf_A с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_38t_Marder_III_ausf_H с order=0
        ОТЛАДКА: get_group_items добавлен germ_stuh_III_ausf_G с order=1
        ОТЛАДКА: get_group_items добавлен germ_stug_III_ausf_F с order=2
        ОТЛАДКА: get_group_items добавлен germ_jgdpz_IV_L48 с order=0
        ОТЛАДКА: get_group_items добавлен germ_jgdpz_38t с order=1
        ОТЛАДКА: get_group_items добавлен germ_panzerjager_panther с order=0
        ОТЛАДКА: get_group_items добавлен germ_kanonenjagdpanzer с order=1
        ОТЛАДКА: get_group_items добавлен germ_panzerjager_tiger_P_ferdinand с order=0
        ОТЛАДКА: get_group_items добавлен germ_panzerjager_tiger с order=1
        ОТЛАДКА: get_group_items добавлен germ_garford_putilov_event с order=0
        ОТЛАДКА: get_group_items добавлен germ_beutepanzer_mk_iv_event с order=1
        ОТЛАДКА: get_group_items добавлен germ_a7v_event с order=2
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_VI_ausf_h1_tiger_east с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_VI_ausf_h1_tiger_west с order=1
        ОТЛАДКА: get_group_items добавлен germ_flakpanzer_IV_Ostwind_2_net с order=2
        ОТЛАДКА: get_group_items добавлен bf-109e-3 с order=0
        ОТЛАДКА: get_group_items добавлен bf-109e-4 с order=1
        ОТЛАДКА: get_group_items добавлен bf-109f-1 с order=0
        ОТЛАДКА: get_group_items добавлен bf-109f-2 с order=1
        ОТЛАДКА: get_group_items добавлен bf-109f-4 с order=0
        ОТЛАДКА: get_group_items добавлен bf-109f-4_trop с order=1
        ОТЛАДКА: get_group_items добавлен bf-109g-2 с order=0
        ОТЛАДКА: get_group_items добавлен bf-109g-6 с order=1
        ОТЛАДКА: get_group_items добавлен bf-109g-14 с order=0
        ОТЛАДКА: get_group_items добавлен bf-109g-10 с order=1
        ОТЛАДКА: get_group_items добавлен me-262a-1a с order=0
        ОТЛАДКА: get_group_items добавлен me-262c-1a с order=1
        ОТЛАДКА: get_group_items добавлен me-262c-2b с order=2
        ОТЛАДКА: get_group_items добавлен me-163b с order=0
        ОТЛАДКА: get_group_items добавлен me-163b-0 с order=1
        ОТЛАДКА: get_group_items добавлен f-86_canadair_german с order=0
        ОТЛАДКА: get_group_items добавлен f-86_cl_13b_mk6 с order=1
        ОТЛАДКА: get_group_items добавлен he51a1 с order=0
        ОТЛАДКА: get_group_items добавлен he51b1 с order=1
        ОТЛАДКА: get_group_items добавлен he51c1 с order=2
        ОТЛАДКА: get_group_items добавлен he51c1_late с order=3
        ОТЛАДКА: get_group_items добавлен he_112v_5 с order=0
        ОТЛАДКА: get_group_items добавлен he_112a_0 с order=1
        ОТЛАДКА: Элемент группы futureReqAir имеет тип <class 'str'>: c_3604
        ОТЛАДКА: get_group_items добавлен futureReqAir с order=0
        ОТЛАДКА: get_group_items добавлен fw-190a-4 с order=0
        ОТЛАДКА: get_group_items добавлен fw-190a-5_u2 с order=1
        ОТЛАДКА: get_group_items добавлен fw-190a-5_cannons с order=0
        ОТЛАДКА: get_group_items добавлен fw-190a-8 с order=1
        ОТЛАДКА: get_group_items добавлен fw-190a-5 с order=0
        ОТЛАДКА: get_group_items добавлен fw-190d-12 с order=1
        ОТЛАДКА: get_group_items добавлен ta-152h-1 с order=0
        ОТЛАДКА: get_group_items добавлен ta-152c с order=1
        ОТЛАДКА: get_group_items добавлен mig-21_mf с order=0
        ОТЛАДКА: get_group_items добавлен mig-21_bis_sau с order=1
        ОТЛАДКА: get_group_items добавлен do_217j_1 с order=0
        ОТЛАДКА: get_group_items добавлен do_217j_2 с order=1
        ОТЛАДКА: get_group_items добавлен do_217n_1 с order=0
        ОТЛАДКА: get_group_items добавлен do_217n_2 с order=1
        ОТЛАДКА: get_group_items добавлен bf-110c-4 с order=0
        ОТЛАДКА: get_group_items добавлен bf-110f-2 с order=1
        ОТЛАДКА: get_group_items добавлен bf-110g-2 с order=0
        ОТЛАДКА: get_group_items добавлен bf_110g_4 с order=1
        ОТЛАДКА: get_group_items добавлен me-410a-1_u2 с order=0
        ОТЛАДКА: get_group_items добавлен me-410b-1_u2 с order=1
        ОТЛАДКА: get_group_items добавлен ju-87b-2 с order=0
        ОТЛАДКА: get_group_items добавлен ju-87r-2 с order=1
        ОТЛАДКА: get_group_items добавлен ju-87g_1 с order=0
        ОТЛАДКА: get_group_items добавлен ju-87g_2 с order=1
        ОТЛАДКА: get_group_items добавлен hs-129b-3 с order=0
        ОТЛАДКА: get_group_items добавлен hs-129b-2 с order=1
        ОТЛАДКА: get_group_items добавлен ju-87d-3 с order=0
        ОТЛАДКА: get_group_items добавлен ju-87d-5 с order=1
        ОТЛАДКА: get_group_items добавлен me-410a-1_u4 с order=0
        ОТЛАДКА: get_group_items добавлен me-410b-2_u4 с order=1
        ОТЛАДКА: get_group_items добавлен me-410a-1 с order=0
        ОТЛАДКА: get_group_items добавлен me-410b-1 с order=1
        ОТЛАДКА: get_group_items добавлен do_335a_1 с order=0
        ОТЛАДКА: get_group_items добавлен do_335a_0 с order=1
        ОТЛАДКА: get_group_items добавлен do_17e_1 с order=0
        ОТЛАДКА: get_group_items добавлен do_17z_2 с order=1
        ОТЛАДКА: get_group_items добавлен he_115c_1 с order=0
        ОТЛАДКА: get_group_items добавлен bv-138c-1 с order=1
        ОТЛАДКА: get_group_items добавлен ju-88a-1 с order=0
        ОТЛАДКА: get_group_items добавлен ju-88a-4 с order=1
        ОТЛАДКА: get_group_items добавлен he-111h-6 с order=0
        ОТЛАДКА: get_group_items добавлен he-111h-16_winter с order=1
        ОТЛАДКА: get_group_items добавлен do_217e_2 с order=0
        ОТЛАДКА: get_group_items добавлен do_217e_4 с order=1
        ОТЛАДКА: get_group_items добавлен do_217k_1 с order=0
        ОТЛАДКА: get_group_items добавлен do_217m_1 с order=1
        ОТЛАДКА: get_group_items добавлен arado-234 с order=0
        ОТЛАДКА: get_group_items добавлен arado-234c-3 с order=1
        ОТЛАДКА: get_group_items добавлен fiat_cr42 с order=0
        ОТЛАДКА: get_group_items добавлен fiat_g50_seria2 с order=1
        ОТЛАДКА: get_group_items добавлен fiat_g50_seria7as с order=2
        ОТЛАДКА: get_group_items добавлен mc200_serie3 с order=0
        ОТЛАДКА: get_group_items добавлен mc200_serie7 с order=1
        ОТЛАДКА: get_group_items добавлен mc-202 с order=2
        ОТЛАДКА: Элемент группы isCrossPromo имеет тип <class 'bool'>: True
        ОТЛАДКА: get_group_items добавлен isCrossPromo с order=0
        ОТЛАДКА: Элемент группы crossPromoBanner имеет тип <class 'str'>: #ui/images/crosspromo_popup_locked
        ОТЛАДКА: get_group_items добавлен crossPromoBanner с order=1
        ОТЛАДКА: get_group_items добавлен sm_79_1936 с order=0
        ОТЛАДКА: get_group_items добавлен sm_79_1939 с order=1
        ОТЛАДКА: get_group_items добавлен sm_79_1941 с order=2
        ОТЛАДКА: get_group_items добавлен sm_79_1943 с order=3
        ОТЛАДКА: get_group_items добавлен sm_79_iar с order=4
        ОТЛАДКА: get_group_items добавлен sm_79_1937 с order=5
        ОТЛАДКА: get_group_items добавлен sm_79_1942 с order=6
        ОТЛАДКА: get_group_items добавлен germ_cruiser_leipzig с order=0
        ОТЛАДКА: get_group_items добавлен germ_cruiser_nurnberg с order=1
        ОТЛАДКА: get_group_items добавлен ussr_t_34_1941_l_11 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_34_1941 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_t_34_1942 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_34E_STZ с order=1
        ОТЛАДКА: get_group_items добавлен ussr_t_54_1947 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_54_1949 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_t_54_1951 с order=2
        ОТЛАДКА: get_group_items добавлен ussr_t_55a с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_62 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_t_55_amd_1 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_62m1 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_t_72b с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_72b_1989 с order=1
        ОТЛАДКА: Элемент группы futureReqAir имеет тип <class 'str'>: ussr_t_72b3_arena_m
        ОТЛАДКА: get_group_items добавлен futureReqAir с order=0
        ОТЛАДКА: get_group_items добавлен ussr_kv_1_L_11 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_kv_2_1939 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_kv_1_zis_5 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_kv_85 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_is_2_1944 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_is_2_1944_321 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_t_64a_1971 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_64_b_1984 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_bmp_1 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_object_906 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_bmp_2 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_object_685 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_bmp_3 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_2s25 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_zis_30 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_su_57b с order=1
        ОТЛАДКА: get_group_items добавлен ussr_su_152 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_su_85_1943 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_isu_152 с order=2
        ОТЛАДКА: get_group_items добавлен ussr_su_85m с order=0
        ОТЛАДКА: get_group_items добавлен ussr_isu_122 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_isu_122s с order=0
        ОТЛАДКА: get_group_items добавлен ussr_su_100_1945 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_2s1 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_2s3m с order=1
        ОТЛАДКА: get_group_items добавлен ussr_btr_152a с order=0
        ОТЛАДКА: get_group_items добавлен ussr_zis_43 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_zis_12_94KM_1945 с order=0
        ОТЛАДКА: get_group_items добавлен ussr_zsu_37 с order=1
        ОТЛАДКА: get_group_items добавлен ussr_is_1_kit_3rank с order=0
        ОТЛАДКА: get_group_items добавлен ussr_t_34_85_zis_53_kit_3rank с order=1
        ОТЛАДКА: get_group_items добавлен ussr_sdkfz_251_21_kit_3rank с order=2
        ОТЛАДКА: get_group_items добавлен yak-1_early с order=0
        ОТЛАДКА: get_group_items добавлен yak-1b с order=1
        ОТЛАДКА: get_group_items добавлен yak-9 с order=0
        ОТЛАДКА: get_group_items добавлен yak-9b с order=1
        ОТЛАДКА: get_group_items добавлен yak-9t с order=0
        ОТЛАДКА: get_group_items добавлен yak-9k с order=1
        ОТЛАДКА: get_group_items добавлен yak-3 с order=0
        ОТЛАДКА: get_group_items добавлен yak-9u с order=1
        ОТЛАДКА: get_group_items добавлен yak-3p с order=0
        ОТЛАДКА: get_group_items добавлен yak-9p с order=1
        ОТЛАДКА: get_group_items добавлен yak-3u с order=0
        ОТЛАДКА: get_group_items добавлен yak-9ut с order=1
        ОТЛАДКА: get_group_items добавлен yak-15_early с order=0
        ОТЛАДКА: get_group_items добавлен yak-15 с order=1
        ОТЛАДКА: get_group_items добавлен yak-17 с order=2
        ОТЛАДКА: get_group_items добавлен i-16_type10 с order=0
        ОТЛАДКА: get_group_items добавлен i-16_type18 с order=1
        ОТЛАДКА: get_group_items добавлен i-16_type24 с order=2
        ОТЛАДКА: get_group_items добавлен mig_3_series_1_15_bk_pod с order=0
        ОТЛАДКА: get_group_items добавлен mig_3_series_34 с order=1
        ОТЛАДКА: get_group_items добавлен mig-9 с order=0
        ОТЛАДКА: get_group_items добавлен mig-9_ussr с order=1
        ОТЛАДКА: get_group_items добавлен mig-15_ns23 с order=0
        ОТЛАДКА: get_group_items добавлен mig-15 с order=1
        ОТЛАДКА: get_group_items добавлен mig-19pt с order=0
        ОТЛАДКА: get_group_items добавлен mig-21_f13 с order=1
        ОТЛАДКА: get_group_items добавлен mig-21_smt с order=0
        ОТЛАДКА: get_group_items добавлен mig-21_bis с order=1
        ОТЛАДКА: get_group_items добавлен mig_23m с order=0
        ОТЛАДКА: get_group_items добавлен mig_23mld с order=1
        ОТЛАДКА: get_group_items добавлен i-15_1934 с order=0
        ОТЛАДКА: get_group_items добавлен i-15_1935 с order=1
        ОТЛАДКА: get_group_items добавлен i-15_1935_moscow с order=2
        ОТЛАДКА: get_group_items добавлен i-15bis с order=0
        ОТЛАДКА: get_group_items добавлен i-153_m62 с order=1
        ОТЛАДКА: get_group_items добавлен lagg-3-8 с order=0
        ОТЛАДКА: get_group_items добавлен lagg-3-11 с order=1
        ОТЛАДКА: get_group_items добавлен lagg-3-35 с order=0
        ОТЛАДКА: get_group_items добавлен lagg-3-66 с order=1
        ОТЛАДКА: get_group_items добавлен la-5_type37_early с order=0
        ОТЛАДКА: get_group_items добавлен la-5_type39 с order=1
        ОТЛАДКА: get_group_items добавлен la_200_toriy с order=0
        ОТЛАДКА: get_group_items добавлен la-15 с order=1
        ОТЛАДКА: get_group_items добавлен su-7b с order=0
        ОТЛАДКА: get_group_items добавлен su-7bkl с order=1
        ОТЛАДКА: get_group_items добавлен bb-1 с order=0
        ОТЛАДКА: get_group_items добавлен su-2_mv5 с order=1
        ОТЛАДКА: get_group_items добавлен su-2_tss1 с order=2
        ОТЛАДКА: get_group_items добавлен su-2_m82 с order=3
        ОТЛАДКА: get_group_items добавлен pe-3_early с order=0
        ОТЛАДКА: get_group_items добавлен pe-3 с order=1
        ОТЛАДКА: get_group_items добавлен il-2i с order=0
        ОТЛАДКА: get_group_items добавлен il_2_37_1943 с order=1
        ОТЛАДКА: get_group_items добавлен il_2m_1943 с order=0
        ОТЛАДКА: get_group_items добавлен il-2m с order=1
        ОТЛАДКА: get_group_items добавлен il-10 с order=0
        ОТЛАДКА: get_group_items добавлен il-10_1946 с order=1
        ОТЛАДКА: get_group_items добавлен il_28 с order=0
        ОТЛАДКА: get_group_items добавлен il_28sh с order=1
        ОТЛАДКА: get_group_items добавлен sb_2m_100 с order=0
        ОТЛАДКА: get_group_items добавлен sb_2m_103c с order=1
        ОТЛАДКА: get_group_items добавлен ar_2 с order=0
        ОТЛАДКА: get_group_items добавлен sb_2m_103u_mv3 с order=1
        ОТЛАДКА: get_group_items добавлен sb_2m_105 с order=2
        ОТЛАДКА: get_group_items добавлен sb_2m_103u с order=3
        ОТЛАДКА: get_group_items добавлен sb_2m_103_mv3 с order=4
        ОТЛАДКА: get_group_items добавлен db_3b с order=0
        ОТЛАДКА: get_group_items добавлен il-4 с order=1
        ОТЛАДКА: get_group_items добавлен pe-2-1 с order=0
        ОТЛАДКА: get_group_items добавлен pe-2-31 с order=1
        ОТЛАДКА: get_group_items добавлен pe-2-83 с order=2
        ОТЛАДКА: get_group_items добавлен er-2_m105_mv3 с order=0
        ОТЛАДКА: get_group_items добавлен er-2_m105r_lu2b с order=1
        ОТЛАДКА: get_group_items добавлен er-2_m105_tat с order=2
        ОТЛАДКА: get_group_items добавлен er-2_m105r_tat с order=3
        ОТЛАДКА: get_group_items добавлен pe-2-110 с order=0
        ОТЛАДКА: get_group_items добавлен pe-2-359 с order=1
        ОТЛАДКА: get_group_items добавлен er-2_ach30b_early с order=0
        ОТЛАДКА: get_group_items добавлен er-2_ach30b_late с order=1
